Shooting range ID,Name,Street address,State,city,Zip code,Phone number,NSSF Member,Facility Details,Services,Shooting Available,Distance,Competition,Website
4952,Defender Outdoors,2900 Shotts Street,TX,Fort Worth,76107,(817) 935-8377,NSSF,"['Public', 'Indoor', 'Commercial Range', 'Handicap accessible', 'Public Access', 'Memberships Available', 'Host Events Open To Public/Non-Members']","['Clubhouse/Lounge/Lodge', 'Equipment Rentals', 'Food Service/Snacks', 'Hunter Education', 'Instruction Available', 'Retail Store', ""Women's Programs"", 'Youth Programs']","['Handguns', 'Rifles']",['Handgun/Smallbore Rifle: 75 ft'],[],http://www.defenderoutdoors.com
8938,Eagle Gun Range,14400 Midway Rd,TX,Farmers Branch,75244,972-353-4867,NSSF,"['Public', 'Indoor', 'Commercial Range', 'Handicap accessible', 'Public Access', 'Memberships Available']","['Equipment Rentals', 'Instruction Available', 'Retail Store', 'Youth Programs']","['Handguns', 'Rifles', 'Shotguns']","['Handgun/Smallbore Rifle: 75 ft', 'Center-Fire Rifle: 75 ft']",['Precision Pistol'],http://www.eaglegunrangetx.com
10587,Range USA - Lewisville,1915 South Stemmons Freeway,TX,Lewisville,75067,(469) 630-6189,NSSF,"['Public', 'Indoor', 'Handicap accessible', 'Public Access', 'Memberships Available', 'Host Events Open To Public/Non-Members']","['Equipment Rentals', 'Instruction Available', 'Retail Store']","['Handguns', 'Rifles']","['Handgun/Smallbore Rifle: 75 ft', 'Center-Fire Rifle: 75 ft']",[],https://rangeusa.com/
8937,Eagle Gun Range,491 W Valley Ridge Blvd,TX,Lewisville,75057,972-353-4867,NSSF,"['Public', 'Indoor', 'Commercial Range', 'Handicap accessible', 'Public Access', 'Memberships Available', 'Host Events Open To Public/Non-Members']","['Equipment Rentals', 'Instruction Available', 'Retail Store', 'Youth Programs']","['Handguns', 'Rifles', 'Shotguns']","['Handgun/Smallbore Rifle: 75 ft', 'Center-Fire Rifle: 75 ft']",[],http://www.eaglegunrangetx.com
1760,Bass Pro Shop num 005,2501 Bass Pro Drive,TX,Grapevine,76051-2097,(972) 724-2018,NSSF,"['Public', 'Indoor', 'Commercial Range']",[],['Archery Indoor'],[],[],http://www.basspro.com/webapp/wcs/stores/servlet/CFPageC?storeId=10151&catalogId=10001&langId=-1&appID=94&storeID=18
11725,Texas Legends Gun Range and Training Center LLC,1499 Central Expressway North,TX,Allen,75013,(469) 675-8803,NSSF,"['Public', 'Indoor', 'Commercial Range', 'Handicap accessible', 'Public Access', 'Memberships Available', 'Host Events Open To Public/Non-Members']","['Clubhouse/Lounge/Lodge', 'Equipment Rentals', 'Food Service/Snacks', 'Instruction Available', 'Lodging Available', 'Retail Store']","['Handguns', 'Rifles', 'Shotguns']","['Handgun/Smallbore Rifle: 50 yd/mtr', 'Center-Fire Rifle: 50 yd/mtr']","['Practical/Action Pistol', 'Precision Pistol']",http://www.texaslegendsguns.com
11589,Texas Gun Experience,1901 South Main Street,TX,Grapevine,76051,(817) 285-0664,NSSF,"['Public', 'Indoor', 'Commercial Range', ""Gun/Sportsman's Club"", 'Handicap accessible', 'Public Access', 'Members Only', 'Memberships Available', 'Host Events Open To Public/Non-Members']","['Clubhouse/Lounge/Lodge', 'Equipment Rentals', 'Food Service/Snacks', 'Hunter Education', 'Instruction Available', 'Picnic Area', 'Retail Store', ""Women's Programs"", 'Youth Programs']","['Handguns', 'Rifles']","['Handgun/Smallbore Rifle: 50 yd/mtr', 'Center-Fire Rifle: 50 yd/mtr']",[],http://www.texasgunexperience.com
4064,The Gun Zone,2405 Interstate 30 Ste. B,TX,Mesquite,75150,(214) 486-9663,NSSF,"['Public', 'Indoor', 'Commercial Range', 'Handicap accessible', 'Public Access', 'Memberships Available']",[],['Handguns'],['Handgun/Smallbore Rifle: 50 ft'],[],#
6844,Bass Pro Shop num 037,5001 Bass Pro Drive,TX,Garland,75043,(469) 221-2600,NSSF,"['Public', 'Indoor', 'Commercial Range']",[],['Archery Indoor'],[],[],http://www.basspro.com/webapp/wcs/stores/servlet/CFPageC?storeId=10151&catalogId=10001&langId=-1&appID=94&storeID=39
7341,Shoot Smart,2440 W. Main Street,TX,Grand Prairie,75050,(972) 641-2335,NSSF,"['Public', 'Indoor', 'Commercial Range', 'Handicap accessible', 'Public Access', 'Memberships Available', 'Host Events Open To Public/Non-Members']","['Clubhouse/Lounge/Lodge', 'Equipment Rentals', 'Food Service/Snacks', 'Instruction Available', 'Retail Store', ""Women's Programs"", 'Youth Programs']","['Handguns', 'Rifles']","['Handgun/Smallbore Rifle: 50 ft', 'Center-Fire Rifle: 50 ft']","['Practical/Action Pistol', 'Rimfire Challenge']",http://www.shootsmart.com
11848,GRITR Sports & Outdoors,7901 26 Boulevard,TX,North Richland Hills,76180,(800) 486-7497,NSSF,"['Public', 'Indoor', 'Commercial Range', ""Gun/Sportsman's Club"", 'Handicap accessible', 'Public Access', 'Memberships Available', 'Host Events Open To Public/Non-Members']","['Equipment Rentals', 'Food Service/Snacks', 'Instruction Available', 'Junior Rifle', 'Retail Store', ""Women's Programs"", 'Youth Programs']","['Handguns', 'Rifles', 'Archery Indoor']","['Handgun/Smallbore Rifle: 75 ft', 'Center-Fire Rifle: 75 ft']","['3 Gun/Multi Gun', 'Bench Rest', 'Practical/Action Pistol', 'Rimfire Challenge']",http://range.gritrsports.com
4964,Quail Creek Range,13814 FM1171,TX,Northlake,76262,(940) 648-3356,NSSF,"['Public', 'Outdoor', 'Commercial Range', 'Law enforcement', 'Handicap accessible', 'Public Access', 'Host Events Open To Public/Non-Members']","['Instruction Available', 'Retail Store']","['Handguns', 'Rifles', 'Shotguns']","['Handgun/Smallbore Rifle: 100 yd/mtr', 'Center-Fire Rifle: 100 yd/mtr']",[],http://www.quailcreekrange.com
11410,Bullseye Range and Guns,1151 South Cedar Ridge Drive,TX,Duncanville,75137,(972) 780-1807,NSSF,"['Public', 'Indoor', 'Commercial Range', 'Handicap accessible', 'Public Access', 'Memberships Available', 'Host Events Open To Public/Non-Members']","['Equipment Rentals', 'Instruction Available', 'Retail Store']",['Handguns'],['Handgun/Smallbore Rifle: 75 ft'],[],http://bullseyerandg.net
8418,Range USA - North Richland Hills,6201 NE Loop 820,TX,North Richland Hill,76180,(682) 400-2100,NSSF,"['Public', 'Commercial Range', 'Handicap accessible', 'Public Access', 'Memberships Available', 'Host Events Open To Public/Non-Members']","['Clubhouse/Lounge/Lodge', 'Equipment Rentals', 'Instruction Available', 'Retail Store', ""Women's Programs""]","['Handguns', 'Rifles']","['Handgun/Smallbore Rifle: 50 ft', 'Center-Fire Rifle: 50 ft']",[],https://rangeusa.com/
10060,Range USA - Arlington,5661 S. Cooper St,TX,Arlington,76017,(682) 712-0104,NSSF,"['Public', 'Indoor', 'Commercial Range', 'Handicap accessible', 'Public Access', 'Memberships Available', 'Host Events Open To Public/Non-Members']","['Clubhouse/Lounge/Lodge', 'Equipment Rentals', 'Instruction Available', 'Retail Store', ""Women's Programs""]","['Handguns', 'Rifles']",[],[],https://rangeusa.com/
5496,Shoot Smart,10305 North Freeway,TX,Fort Worth,76177,(817) 984-8020,NSSF,"['Public', 'Indoor', 'Commercial Range', 'Handicap accessible', 'Public Access', 'Memberships Available', 'Host Events Open To Public/Non-Members']","['Clubhouse/Lounge/Lodge', 'Equipment Rentals', 'Instruction Available', 'Retail Store', ""Women's Programs"", 'Youth Programs']","['Handguns', 'Rifles']","['Handgun/Smallbore Rifle: 50 ft', 'Center-Fire Rifle: 50 ft']","['Practical/Action Pistol', 'Rimfire Challenge']",http://www.shootsmart.com
1811,"Winchester Gallery, Inc.",6062 A East Lancaster,TX,Fort Worth,76112,(817) 496-9391,NSSF,"['Public', 'Indoor', 'Commercial Range', 'Handicap accessible']",['Retail Store'],[],[],[],http://winchestergallery.com/
7723,"B-Tactical, LLC",2975 W IH30,TX,Caddo Mills,75135,(903) 441-2017,NSSF,"['Public', 'Outdoor', 'Commercial Range', 'Law enforcement', 'Municipal Facility', 'Military Facility', 'Public Access']","['Equipment Rentals', 'Hunter Education', 'Instruction Available', ""Women's Programs""]","['Rifles', 'Archery Outdoor 3D']",['Center-Fire Rifle: 500 yd/mtr'],[],http://www.b-tactical.com
9212,Defender Outdoors Clay Sports Range,8270 Aledo Road,TX,Fort Worth,76126,(817) 935-8378,NSSF,"['Public', 'Outdoor', 'Commercial Range', ""Gun/Sportsman's Club"", 'Handicap accessible', 'Public Access', 'Memberships Available', 'Host Events Open To Public/Non-Members']","['Clubhouse/Lounge/Lodge', 'Equipment Rentals', 'Instruction Available', 'Picnic Area', 'Retail Store', ""Women's Programs"", 'Youth Programs']",['Shotguns'],[],['Sporting Clays/FITASC'],http://www.claysportsranch.com
7269,Lone Star Guns Gallery & Gear,321 Interstate 20 West,TX,Weatherford,76087,(817) 599-9275,NSSF,"['Public', 'Indoor', 'Commercial Range', 'Public Access', 'Memberships Available']","['Hunter Education', 'Instruction Available', 'Retail Store', ""Women's Programs"", 'Youth Programs']","['Handguns', 'Rifles', 'Shotguns']","['Handgun/Smallbore Rifle: 75 ft', 'Center-Fire Rifle: 75 ft']",[],http://lonestargunsgallerygear.com
10045,5H Shooting Sports,19105 Country Road 4235,TX,Frankston,75763,903-876-2772,NSSF,"['Public', 'Outdoor', 'Commercial Range', 'Handicap accessible', 'Public Access', 'Memberships Available', 'Host Events Open To Public/Non-Members']","['Clubhouse/Lounge/Lodge', 'Equipment Rentals', 'Food Service/Snacks', 'Hunter Education', 'Instruction Available', 'Picnic Area', 'Retail Store', ""Women's Programs"", 'Youth Programs']",['Shotguns'],[],"['Skeet Competition', 'Sporting Clays/FITASC', 'Trap Competition']",http://www.5houtdoors.com
11898,Heart of Texas Shooting Center,5040 Texas 340 Loop,TX,Robinson,76706,(254) 492-8300,NSSF,"['Public', 'Indoor', 'Commercial Range', 'Handicap accessible', 'Public Access', 'Memberships Available', 'Host Events Open To Public/Non-Members']","['Equipment Rentals', 'Food Service/Snacks', 'Hunter Education', 'Instruction Available', 'Junior Rifle', 'Retail Store', ""Women's Programs"", 'Youth Programs']","['Handguns', 'Rifles', 'Shotguns']","['Handgun/Smallbore Rifle: 75 ft', 'Center-Fire Rifle: 75 ft']","['Practical/Action Pistol', 'Precision Pistol', 'Rimfire Challenge', 'Smallbore']",http://www.hotshootingcenter.com
11514,Republic Gun Club,19000 Woodway Drive,TX,Waco,76712,(254) 307-4867,NSSF,"['Public', 'Indoor', 'Commercial Range', 'Handicap accessible', 'Public Access', 'Memberships Available', 'Host Events Open To Public/Non-Members']","['Clubhouse/Lounge/Lodge', 'Equipment Rentals', 'Hunter Education', 'Instruction Available', 'Retail Store', ""Women's Programs"", 'Youth Programs']","['Handguns', 'Rifles']","['Handgun/Smallbore Rifle: 100 yd/mtr', 'Center-Fire Rifle: 100 yd/mtr']",[],http://www.republicgunclub.com
11706,Sheepdog Marksmanship Training,3501 County Road 213,TX,Jonesboro,76538,(512) 912-6412,NSSF,"['Private', 'Outdoor', 'Commercial Range', 'Public Access', 'Host Events Open To Public/Non-Members']","['Equipment Rentals', 'Hunter Education', 'Instruction Available']","['Handguns', 'Rifles']","['Handgun/Smallbore Rifle: 50 yd/mtr', 'Center-Fire Rifle: 100 yd/mtr']",[],http://www.sheepdogmarksmanship.com
11327,High Caliber Gun Range,7475 Central East Freeway,TX,Wichita Falls,76305,(940) 432-5556,NSSF,"['Public', 'Indoor', 'Commercial Range', 'Handicap accessible', 'Public Access', 'Memberships Available', 'Host Events Open To Public/Non-Members']","['Equipment Rentals', 'Instruction Available', 'Retail Store']","['Handguns', 'Rifles']","['Handgun/Smallbore Rifle: 75 ft', 'Center-Fire Rifle: 75 ft']",[],http://highcalibergunrange.com
10788,Texarkana Gun Barn & Range,1601 County Road 1214,TX,Texarkana,75501,(903) 671-2222,NSSF,"['Public', 'Indoor', 'Commercial Range', 'Handicap accessible', 'Public Access', 'Memberships Available', 'Host Events Open To Public/Non-Members']","['Food Service/Snacks', 'Instruction Available', 'Retail Store']",['Handguns'],"['Handgun/Smallbore Rifle: 75 ft', 'Center-Fire Rifle: 75 ft']","['Practical/Action Pistol', 'Precision Pistol', 'Rimfire Challenge', 'Smallbore']",http://www.texarkanagunbarnandrange.com
11779,Legendary Shooting Sports LLC,101 Slaton Drive,TX,Nash,75569,(903) 336-6139,NSSF,"['Public', 'Indoor', 'Commercial Range', 'Law enforcement', 'Municipal Facility', ""Gun/Sportsman's Club"", 'Handicap accessible', 'Public Access', 'Memberships Available', 'Host Events Open To Public/Non-Members']","['Equipment Rentals', 'Instruction Available', 'Retail Store', ""Women's Programs""]","['Handguns', 'Rifles']","['Handgun/Smallbore Rifle: 75 ft', 'Center-Fire Rifle: 75 ft']",[],http://www.legendaryshootingsports.com
5450,Elm Fork Shooting Sports,10751 Luna Road,TX,Dallas,75220,(972) 556-0103,Non-NSSF,"['Public', 'Outdoor', 'Commercial Range', 'Law enforcement', 'Municipal Facility', 'Military Facility', 'Handicap accessible', 'Public Access']","['Clubhouse/Lounge/Lodge', 'Equipment Rentals', 'Food Service/Snacks', 'Hunter Education', 'Instruction Available', 'Lodging Available', 'Picnic Area', 'Retail Store', ""Women's Programs"", 'Youth Programs']","['Handguns', 'Rifles', 'Shotguns', 'Archery Outdoor Field', 'Archery Outdoor 3D']","['Handgun/Smallbore Rifle: 50 yd/mtr', 'Center-Fire Rifle: 100 yd/mtr']","['3D Archery', 'Airgun', 'Practical/Action Pistol', 'Skeet Competition', 'Sporting Clays/FITASC', 'Trap Competition']",http://www.elmfork.com
4167,Dallas Pistol Club,1830 W Beltline Rd.,TX,Carrollton,75006,(214) 701-7242,Non-NSSF,"['Private', 'Outdoor', ""Gun/Sportsman's Club"", 'Handicap accessible', 'Members Only', 'Memberships Available', 'Host Events Open To Public/Non-Members']","['Clubhouse/Lounge/Lodge', 'Instruction Available', ""Women's Programs"", 'Youth Programs']",['Handguns'],['Handgun/Smallbore Rifle: 100 yd/mtr'],"['Airgun', 'Practical/Action Pistol', 'Precision Pistol']",http://www.dallaspistolclub.com
