Shooting range ID,Name,Street address,State,City,Zip code,Phone number,NSSF Member,Facility Details,Services,Shooting Available,Distance,Competition,Website
11705,"Kings Gun Center, LLC",426 Park Ave,CA,Hanford,93230-4496,(559) 585-2000,NSSF,"['Public', 'Indoor', 'Commercial Range', ""Gun/Sportsman's Club"", 'Handicap accessible', 'Public Access', 'Memberships Available', 'Host Events Open To Public/Non-Members']","['Food Service/Snacks', 'Hunter Education', 'Instruction Available', 'Retail Store', ""Women's Programs"", 'Youth Programs']","['Handguns', 'Rifles', 'Archery Indoor']","['Handgun/Smallbore Rifle: 75 ft', 'Center-Fire Rifle: 75 ft']",[],http://www.kingsguncenter.com
6394,Bear Mountain Sports,8032 Di Miller Dr Unit D,CA,Bakersfield,93307-8335,(661) 366-2666,NSSF,"['Public', 'Indoor', 'Commercial Range', 'Public Access']","['Instruction Available', 'Retail Store']",['Archery Indoor'],[],[],http://www.bearmntsports.com
7790,"Lytle Creek Firing Line, Inc",Western Terminus of USFS Road 3N06 12 miles off I15 at end of pavement,CA,Lytle Creek,92358,(951) 782-7438,NSSF,"['Public', 'Outdoor', 'Law enforcement', ""Gun/Sportsman's Club"", 'Handicap accessible', 'Public Access', 'Host Events Open To Public/Non-Members']",['Instruction Available'],"['Handguns', 'Rifles', 'Shotguns', 'Archery Outdoor Field']","['Handgun/Smallbore Rifle: 300 yd/mtr', 'Center-Fire Rifle: 300 yd/mtr']",[],http://www.lytlecreekrange.com
11329,Route 66 Shooting Sports Park,15810 Cajon Boulevard,CA,San Bernardino,92407,(909) 880-0093,NSSF,"['Public', 'Outdoor', 'Commercial Range', 'Handicap accessible', 'Public Access', 'Memberships Available']","['Equipment Rentals', 'Food Service/Snacks', 'Instruction Available', 'Retail Store']","['Handguns', 'Rifles', 'Shotguns']","['Handgun/Smallbore Rifle: 100 yd/mtr', 'Center-Fire Rifle: 100 yd/mtr']","['Cowboy Action Shooting', 'Muzzle Loading Events', 'Practical/Action Pistol']",https://r66ssp.com
1700,West End Gun Club,1N33 County Fire Rd,CA,Devore,91764,(909) 781-4486,NSSF,"['Private', 'Outdoor', ""Gun/Sportsman's Club"", 'Handicap accessible', 'Members Only', 'Memberships Available']","['Junior Rifle', 'Retail Store', 'Youth Programs']","['Handguns', 'Rifles', 'Shotguns']","['Handgun/Smallbore Rifle: 100 yd/mtr', 'Center-Fire Rifle: 500 yd/mtr']","['3 Gun/Multi Gun', 'Cowboy Action Shooting', 'Practical/Action Pistol', 'Rifle Metallic Silhouette', 'Skeet Competition', 'Trap Competition']",http://www.wegc.org
4241,"Angeles Shooting Ranges, Inc.",12651 Little Tujunga Canyon Rd,CA,Lake View Terrace,91342,(818) 899-2255,NSSF,"['Public', 'Outdoor', 'Commercial Range', 'Handicap accessible', 'Public Access', 'Memberships Available']","['Equipment Rentals', 'Food Service/Snacks', 'Instruction Available', 'Picnic Area', 'Retail Store']","['Handguns', 'Rifles', 'Shotguns']","['Handgun/Smallbore Rifle: 100 yd/mtr', 'Center-Fire Rifle: 500 yd/mtr']","['Airgun', 'Bench Rest', 'Handgun Metallic Silhouette', 'Practical/Action Pistol', 'Precision Pistol', 'Rifle Metallic Silhouette', 'Sporting Clays/FITASC']",http://www.angelesranges.com
7733,Oak Tree Gun Club,23121 Coltrane Ave.,CA,Newhall,91321,(661) 259-7441,NSSF,"['Public', 'Outdoor', ""Gun/Sportsman's Club"", 'Handicap accessible', 'Public Access']","['Clubhouse/Lounge/Lodge', 'Equipment Rentals', 'Food Service/Snacks', 'Hunter Education', 'Instruction Available', 'Picnic Area', 'Retail Store', ""Women's Programs"", 'Youth Programs']","['Handguns', 'Rifles', 'Shotguns']","['Handgun/Smallbore Rifle: 50 yd/mtr', 'Center-Fire Rifle: 100 yd/mtr']","['3D Archery', '3 Gun/Multi Gun', 'Handgun Metallic Silhouette', 'Practical/Action Pistol', 'Skeet Competition', 'Sporting Clays/FITASC', 'Trap Competition']",http://www.oaktreegunclub.com/
7398,ISI Shootists,6700 Holser Canyon Road,CA,Piru,93040,(661) 269-2245,NSSF,"['Private', 'Outdoor', ""Gun/Sportsman's Club"", 'Public Access', 'Members Only', 'Memberships Available']",['Instruction Available'],[],[],['Practical/Action Pistol'],http://www.isishootists.com/
4154,Bass Pro Shop num 049,7777 Victoria Gardens Lane,CA,Rancho Cucamonga,91739,(909) 922-5500,NSSF,"['Public', 'Indoor', 'Commercial Range', 'Handicap accessible', 'Public Access']","['Food Service/Snacks', 'Hunter Education', 'Retail Store']","['Handguns', 'Archery Indoor']",['Handgun/Smallbore Rifle: 50 ft'],[],http://www.basspro.com/webapp/wcs/stores/servlet/CFPage?storeId=10151&catalogId=10001&langId=-1&appID=94&storeID=52
6005,The Target Range & Gun Store,16140 Cohasset St.,CA,Van Nuys,91406,(818) 787-4373,NSSF,"['Public', 'Indoor', 'Commercial Range', 'Law enforcement', 'Handicap accessible', 'Public Access', 'Memberships Available']","['Clubhouse/Lounge/Lodge', 'Equipment Rentals', 'Food Service/Snacks', 'Instruction Available', 'Retail Store']","['Handguns', 'Rifles', 'Shotguns']","['Handgun/Smallbore Rifle: 50 ft', 'Center-Fire Rifle: 50 ft']",[],http://www.thetargetrange.com
9193,Field Time Target & Training,8230 Electric Ave,CA,Stanton,90680,(714) 677-2841,NSSF,"['Public', 'Indoor', 'Commercial Range', 'Law enforcement', 'Handicap accessible', 'Public Access', 'Memberships Available', 'Host Events Open To Public/Non-Members']","['Equipment Rentals', 'Instruction Available', 'Junior Rifle', 'Retail Store', ""Women's Programs"", 'Youth Programs']","['Handguns', 'Rifles', 'Shotguns']","['Handgun/Smallbore Rifle: 50 ft', 'Center-Fire Rifle: 50 ft']","['3 Gun/Multi Gun', 'Practical/Action Pistol', 'Precision Pistol']",http://www.fieldtimetargetandtraining.com
11737,Elite CCW and Firearm Training,18183 Euclid Street,CA,Fountain Valley,92708,(714) 600-3120,NSSF,"['Private', 'Indoor', 'Commercial Range', 'Handicap accessible', 'Members Only', 'Memberships Available', 'Host Events Open To Public/Non-Members']","['Instruction Available', 'Retail Store', ""Women's Programs"", 'Youth Programs']",['Handguns'],['Handgun/Smallbore Rifle: 50 ft'],[],https://eliteccwtraining.com/
7685,"Artemis Group, LLC dba Artemis Defense Institute",11 Spectrum Pointe Dr,CA,Lake Forest,92630,(949) 305-6586,NSSF,"['Public', 'Indoor', 'Commercial Range', 'Law enforcement', 'Handicap accessible', 'Public Access', 'Memberships Available']","['Instruction Available', 'Retail Store']",[],[],[],http://www.artemisdefenseinstitute.com
11242,"Santa Maria Gun Club, Inc.",3150 Telephone Rd,CA,Santa Maria,93454-9675,(805) 925-6673,NSSF,"['Public', 'Indoor/Outdoor', 'Commercial Range', ""Gun/Sportsman's Club"", 'Handicap accessible', 'Public Access', 'Memberships Available', 'Host Events Open To Public/Non-Members']","['Clubhouse/Lounge/Lodge', 'Instruction Available', 'Youth Programs']","['Handguns', 'Shotguns', 'Archery Indoor', 'Archery Outdoor Field', 'Archery Outdoor 3D']",['Handgun/Smallbore Rifle: 75 ft'],['Trap Competition'],http://www.santamariagunclub.org/index.html
