Shooting range ID,Name,Street address,State,City,Zip code,Phone number,NSSF Member,Facility Details,Services,Shooting Available,Distance,Competition,Website
10800,Nardis Gun Club at Rolling Oaks,6711 NE Loop 1604,TX,San Antonio,78247,(210) 651-0909,NSSF,"['Public', 'Indoor', 'Commercial Range', 'Handicap accessible', 'Public Access', 'Memberships Available', 'Host Events Open To Public/Non-Members', 'Membership and Open to Public', 'Open to Public']","['Equipment Rentals', 'Food Service/Snacks', 'Instruction Available', 'Retail Store', ""Women's Programs"", 'Youth Programs']","['Handguns', 'Rifles']","['Handgun/Smallbore Rifle: 75 ft', 'Center-Fire Rifle: 75 ft']",[],http://www.nardisgunclub.com
7482,"Nardis Gun Club SA, L.L.C.",4818 Interstate 10 East,TX,San Antonio,78219,(210) 661-8300,NSSF,"['Public', 'Indoor', 'Commercial Range', ""Gun/Sportsman's Club"", 'Handicap accessible', 'Public Access', 'Memberships Available', 'Host Events Open To Public/Non-Members']","['Clubhouse/Lounge/Lodge', 'Food Service/Snacks', 'Instruction Available', 'Retail Store', ""Women's Programs""]","['Handguns', 'Rifles', 'Shotguns']","['Handgun/Smallbore Rifle: 75 ft', 'Center-Fire Rifle: 75 ft']",[],http://www.nardisgunclub.com/
8883,Nardis Gun Club at Alamo Ranch,4215 W Loop 1604 N,TX,San Antonio,78253,210-369-9199,NSSF,"['Public', 'Indoor', 'Commercial Range', 'Handicap accessible', 'Public Access', 'Memberships Available', 'Host Events Open To Public/Non-Members']","['Clubhouse/Lounge/Lodge', 'Equipment Rentals', 'Food Service/Snacks', 'Instruction Available', 'Retail Store', ""Women's Programs""]","['Handguns', 'Rifles']","['Handgun/Smallbore Rifle: 75 ft', 'Center-Fire Rifle: 75 ft']",[],http://www.nardisgunclub.com
8640,Saddle River Range,4280 FM 1488,TX,Conroe,77384,(936) 271-2620,NSSF,"['Public', 'Indoor', 'Commercial Range', ""Gun/Sportsman's Club"", 'Handicap accessible', 'Public Access', 'Memberships Available', 'Host Events Open To Public/Non-Members']","['Clubhouse/Lounge/Lodge', 'Equipment Rentals', 'Food Service/Snacks', 'Instruction Available', 'Junior Rifle', 'Retail Store', ""Women's Programs"", 'Youth Programs']","['Handguns', 'Rifles', 'Shotguns', 'Archery Indoor']",[],"['3D Archery', 'Practical/Action Pistol', 'Precision Pistol']",http://www.saddleriverrange.com
11456,"Red's Indoor Range North, Inc.",1908 W Pecan St,TX,Pflugerville,78660-3540,(512) 251-1022,NSSF,"['Public', 'Indoor', 'Commercial Range', 'Handicap accessible', 'Public Access', 'Memberships Available', 'Host Events Open To Public/Non-Members']","['Equipment Rentals', 'Hunter Education', 'Instruction Available', 'Retail Store', ""Women's Programs""]","['Handguns', 'Rifles']","['Handgun/Smallbore Rifle: 50 yd/mtr', 'Center-Fire Rifle: 100 yd/mtr']",[],http://www.redsguns.com
10628,Range USA - Round Rock,1775 Warner Ranch Drive,TX,Round Rock,78664,(512) 758-4810,NSSF,"['Public', 'Indoor', 'Handicap accessible', 'Public Access', 'Memberships Available', 'Host Events Open To Public/Non-Members']","['Equipment Rentals', 'Instruction Available', 'Retail Store', ""Women's Programs"", 'Youth Programs']","['Handguns', 'Rifles']","['Handgun/Smallbore Rifle: 75 ft', 'Center-Fire Rifle: 75 ft']",[],https://rangeusa.com/
2900,Eagle Peak Shooting Range,20026 Lindeman Ln,TX,Leander,78641-8191,(512) 267-1400,NSSF,"['Public', 'Outdoor', ""Gun/Sportsman's Club"", 'Handicap accessible', 'Memberships Available']","['Equipment Rentals', 'Instruction Available', 'Retail Store']","['Rifles', 'Shotguns']",['Center-Fire Rifle: 300 yd/mtr'],[],http://www.eaglepeakshootingrange.com/welcome.htm
6672,Lonestar Range & Academy LLC,"10,000 N US Hwy 183",TX,Florence,76527,(512) 516-7640,NSSF,"['Public', 'Outdoor', ""Gun/Sportsman's Club"", 'Handicap accessible', 'Public Access', 'Host Events Open To Public/Non-Members']","['Food Service/Snacks', 'Instruction Available', ""Women's Programs"", 'Youth Programs']","['Rifles', 'Shotguns', 'Archery Outdoor Field']",['Center-Fire Rifle: 100 yd/mtr'],[],http://www.lonestarrangeacademy.com
6104,KR Training,1166 County Road 145,TX,Lincoln,78948,(512) 633-8232,NSSF,"['Private', 'Outdoor', 'Commercial Range', 'Handicap accessible', 'Host Events Open To Public/Non-Members']","['Clubhouse/Lounge/Lodge', 'Equipment Rentals', 'Hunter Education', 'Instruction Available', 'Picnic Area', ""Women's Programs""]","['Handguns', 'Rifles', 'Shotguns']","['Handgun/Smallbore Rifle: 50 yd/mtr', 'Center-Fire Rifle: 50 yd/mtr']",['Practical/Action Pistol'],http://www.krtraining.com
7653,McQueeney Gun Club,5900 FM 725,TX,New Braunfels,78130,(210) 241-6647,NSSF,"['Public', 'Indoor', 'Commercial Range', 'Public Access']",[],[],[],[],http://www.mcqueeneygunclub.com/
4284,Bracken Rifle and Pistol Range,19280 Marbach Lane,TX,San Antonio,78266,(210) 651-9009,NSSF,"['Public', 'Outdoor', 'Commercial Range', 'Handicap accessible', 'Memberships Available']",['Instruction Available'],"['Handguns', 'Rifles', 'Shotguns']","['Handgun/Smallbore Rifle: 50 yd/mtr', 'Center-Fire Rifle: 100 yd/mtr']",[],http://www.brackenrange.com
10052,Buck & Doe's Mercantile,24250 US 281,TX,San Antonio,78258,830-980-3637,NSSF,"['Public', 'Indoor', 'Commercial Range', 'Handicap accessible', 'Public Access', 'Memberships Available', 'Host Events Open To Public/Non-Members']","['Equipment Rentals', 'Hunter Education', 'Instruction Available', 'Junior Rifle', 'Picnic Area', 'Retail Store', ""Women's Programs"", 'Youth Programs']","['Handguns', 'Rifles', 'Archery Indoor']","['Handgun/Smallbore Rifle: 50 ft', 'Center-Fire Rifle: 50 ft']","['3D Archery', 'Handgun Metallic Silhouette', 'Hi-Power Rifle Matches', 'Precision Pistol']",http://www.buckdoes.com
1584,Bexar Community Shooting Range,15391 Bexar Bowling,TX,Marion,78124,(830) 914-2182,NSSF,"['Public', 'Outdoor', 'Commercial Range', 'Handicap accessible', 'Memberships Available']",[],['Shotguns'],[],"['Skeet Competition', 'Trap Competition']",#
6842,Bass Pro Shops,"17907 Interstate 10, West",TX,San Antonio,78257,(210) 253-8800,NSSF,"['Public', 'Indoor', 'Commercial Range', 'Memberships Available']",[],"['Handguns', 'Rifles', 'Archery Indoor']","['Handgun/Smallbore Rifle: 75 ft', 'Center-Fire Rifle: 75 ft']",[],http://www.basspro.com/webapp/wcs/stores/servlet/CFPageC?storeId=10151&catalogId=10001&langId=-1&appID=94&storeID=46
11706,Sheepdog Marksmanship Training,3501 County Road 213,TX,Jonesboro,76538,(512) 912-6412,NSSF,"['Private', 'Outdoor', 'Commercial Range', 'Public Access', 'Host Events Open To Public/Non-Members']","['Equipment Rentals', 'Hunter Education', 'Instruction Available']","['Handguns', 'Rifles']","['Handgun/Smallbore Rifle: 50 yd/mtr', 'Center-Fire Rifle: 100 yd/mtr']",[],http://www.sheepdogmarksmanship.com
11514,Republic Gun Club,19000 Woodway Drive,TX,Waco,76712,(254) 307-4867,NSSF,"['Public', 'Indoor', 'Commercial Range', 'Handicap accessible', 'Public Access', 'Memberships Available', 'Host Events Open To Public/Non-Members']","['Clubhouse/Lounge/Lodge', 'Equipment Rentals', 'Hunter Education', 'Instruction Available', 'Retail Store', ""Women's Programs"", 'Youth Programs']","['Handguns', 'Rifles']","['Handgun/Smallbore Rifle: 100 yd/mtr', 'Center-Fire Rifle: 100 yd/mtr']",[],http://www.republicgunclub.com
1789,Prairie Moon Ranch,8607 Wurzbach Bldg P Suite 101,TX,San Antonio,78240,(210) 573-8139,NSSF,"['Public', 'Outdoor', 'Commercial Range', 'Handicap accessible']","['Equipment Rentals', 'Instruction Available', 'Picnic Area']",['Shotguns'],[],[],#
11898,Heart of Texas Shooting Center,5040 Texas 340 Loop,TX,Robinson,76706,(254) 492-8300,NSSF,"['Public', 'Indoor', 'Commercial Range', 'Handicap accessible', 'Public Access', 'Memberships Available', 'Host Events Open To Public/Non-Members']","['Equipment Rentals', 'Food Service/Snacks', 'Hunter Education', 'Instruction Available', 'Junior Rifle', 'Retail Store', ""Women's Programs"", 'Youth Programs']","['Handguns', 'Rifles', 'Shotguns']","['Handgun/Smallbore Rifle: 75 ft', 'Center-Fire Rifle: 75 ft']","['Practical/Action Pistol', 'Precision Pistol', 'Rimfire Challenge', 'Smallbore']",http://www.hotshootingcenter.com
10702,Range USA - San Antonio,722 Southwest Loop 410,TX,San Antonio,78227,(210) 756-7998,NSSF,"['Public', 'Indoor', 'Commercial Range', 'Handicap accessible', 'Public Access', 'Memberships Available', 'Host Events Open To Public/Non-Members']","['Equipment Rentals', 'Instruction Available', 'Retail Store']","['Handguns', 'Rifles']","['Handgun/Smallbore Rifle: 75 ft', 'Center-Fire Rifle: 75 ft']",[],https://rangeusa.com/
11730,Apocalypse Tactical Range LLC,16680 Somerset Road,TX,Von Ormy,78073,(210) 421-9173,NSSF,"['Private', 'Outdoor', 'Commercial Range', 'Law enforcement', 'Municipal Facility', ""Gun/Sportsman's Club"", 'Military Facility', 'Hunting Preserve', 'Public Access', 'Members Only', 'Memberships Available', 'Host Events Open To Public/Non-Members']","['Instruction Available', 'Picnic Area', ""Women's Programs"", 'Youth Programs']","['Handguns', 'Rifles', 'Shotguns']","['Handgun/Smallbore Rifle: 100 yd/mtr', 'Center-Fire Rifle: 100 yd/mtr']",[],http://Www.apocalypsetacticalrange.com
6057,Texas Premier Sporting Arms,7311 Hwy 36 South,TX,Sealy,77474,(713) 826-1981,NSSF,"['Public', 'Outdoor', ""Gun/Sportsman's Club"", 'Handicap accessible', 'Public Access', 'Memberships Available', 'Host Events Open To Public/Non-Members']","['Clubhouse/Lounge/Lodge', 'Equipment Rentals', 'Picnic Area', ""Women's Programs"", 'Youth Programs']",['Shotguns'],[],"['Sporting Clays/FITASC', 'Trap Competition']",http://www.texaspremiersportingarms.com
6359,"Lone Star Weapons and Tactics, LLC",5419 FM 1343,TX,Devine,78016,(830) 665-4377,NSSF,"['Private', 'Outdoor', 'Law enforcement', 'Military Facility', 'Handicap accessible']","['Clubhouse/Lounge/Lodge', 'Equipment Rentals', 'Food Service/Snacks', 'Instruction Available', 'Picnic Area', 'Retail Store', ""Women's Programs"", 'Youth Programs']","['Handguns', 'Rifles', 'Shotguns', 'Archery Outdoor Field']","['Handgun/Smallbore Rifle: 300 yd/mtr', 'Center-Fire Rifle: 300 yd/mtr']","['Airgun', 'Cowboy Action Shooting']",http://www.LSWAT.com
7189,"Able's Sporting, Inc.",357 FM 1791 North,TX,Huntsville,77340,(936) 295-5786,NSSF,"['Public', 'Outdoor', 'Commercial Range', ""Gun/Sportsman's Club"", 'Public Access', 'Memberships Available']","['Retail Store', 'Youth Programs']","['Rifles', 'Shotguns']",['Center-Fire Rifle: 100 yd/mtr'],['Sporting Clays/FITASC'],http://www.ableammo.com
1746,American Shooting Centers,16500 Westheimer Parkway,TX,Houston,77082,(281) 556-8199,NSSF,"['Public', 'Outdoor', 'Commercial Range', 'Law enforcement', 'Military Facility', 'Handicap accessible', 'Memberships Available']","['Clubhouse/Lounge/Lodge', 'Equipment Rentals', 'Food Service/Snacks', 'Instruction Available', 'Picnic Area', 'Retail Store', ""Women's Programs"", 'Youth Programs']","['Handguns', 'Rifles', 'Shotguns', 'Archery Outdoor Field']","['Handgun/Smallbore Rifle: 100 yd/mtr', 'Center-Fire Rifle: 500 yd/mtr']","['Airgun', 'Bench Rest', 'Handgun Metallic Silhouette', 'Muzzle Loading Events', 'Practical/Action Pistol', 'Precision Pistol', 'Rifle Metallic Silhouette', 'Skeet Competition', 'Smallbore', 'Sporting Clays/FITASC', 'Trap Competition']",http://www.americanshootingcenters.com
10058,Range USA - Cypress,10310 Wortham Center Drive,TX,Houston,77065,(832) 460-1585,NSSF,"['Public', 'Indoor', 'Commercial Range', 'Handicap accessible', 'Public Access', 'Memberships Available', 'Host Events Open To Public/Non-Members']","['Clubhouse/Lounge/Lodge', 'Equipment Rentals', 'Instruction Available', 'Retail Store', ""Women's Programs""]","['Handguns', 'Rifles', 'Shotguns']",[],[],https://rangeusa.com/
